2025-12-05 21:34:41 | khan92 | chrome | 4.8 | 2.3
2025-12-05 21:34:41 | khan92 | chrome | 4.1 | 2.7
2025-12-05 21:34:41 | khan92 | chrome | 3.6 | 1.6
2025-12-05 21:34:41 | khan92 | chrome | 2.8 | 0.4
2025-12-05 21:34:41 | khan92 | code | 1.2 | 3.2
2025-12-05 21:35:05 | khan92 | gnome-shell | 82.0 | 3.1
2025-12-05 21:35:05 | khan92 | code | 10.1 | 2.8
2025-12-05 21:35:05 | khan92 | chrome | 6.6 | 1.2
2025-12-05 21:35:05 | khan92 | code | 5.8 | 0.9
2025-12-05 21:35:05 | khan92 | chrome | 4.7 | 2.3
2025-12-05 21:35:05 | khan92 | chrome | 3.9 | 2.7
2025-12-05 21:35:05 | khan92 | chrome | 3.5 | 1.6
2025-12-05 21:35:05 | khan92 | code | 1.2 | 3.1
2025-12-05 21:35:05 | khan92 | Xwayland | 1.0 | 0.6
2025-12-05 21:35:05 | khan92 | code | 0.9 | 1.3
2025-12-05 21:35:11 | khan92 | gnome-shell | 82.4 | 3.1
2025-12-05 21:35:11 | khan92 | code | 10.2 | 2.8
2025-12-05 21:35:11 | khan92 | chrome | 6.6 | 1.2
2025-12-05 21:35:11 | khan92 | code | 5.9 | 1.0
2025-12-05 21:35:11 | khan92 | chrome | 4.7 | 2.3
2025-12-05 21:35:11 | khan92 | chrome | 3.9 | 2.7
2025-12-05 21:35:11 | khan92 | chrome | 3.4 | 1.6
2025-12-05 21:35:11 | khan92 | code | 1.2 | 2.6
2025-12-05 21:35:11 | khan92 | Xwayland | 1.0 | 0.6
2025-12-05 21:35:11 | khan92 | code | 0.9 | 1.3
2025-12-05 21:35:35 | khan92 | gnome-shell | 82.1 | 3.1
2025-12-05 21:35:35 | khan92 | code | 10.1 | 2.9
2025-12-05 21:35:35 | khan92 | chrome | 6.4 | 1.2
2025-12-05 21:35:35 | khan92 | code | 5.9 | 1.0
2025-12-05 21:35:35 | khan92 | chrome | 4.5 | 2.3
2025-12-05 21:35:35 | khan92 | chrome | 3.8 | 2.7
2025-12-05 21:35:35 | khan92 | chrome | 3.3 | 1.6
2025-12-05 21:35:35 | khan92 | code | 1.2 | 2.6
2025-12-05 21:35:35 | khan92 | Xwayland | 1.0 | 0.6
2025-12-05 21:35:35 | khan92 | code | 0.9 | 1.3
2025-12-05 21:35:41 | khan92 | gnome-shell | 82.2 | 3.1
2025-12-05 21:35:41 | khan92 | code | 10.2 | 2.9
2025-12-05 21:35:41 | khan92 | chrome | 6.3 | 1.2
2025-12-05 21:35:41 | khan92 | code | 5.9 | 1.0
2025-12-05 21:35:41 | khan92 | chrome | 4.5 | 2.3
2025-12-05 21:35:41 | khan92 | chrome | 3.8 | 2.7
